,X_CCF,Y_CCF,Z_CCF
0,9958.548911771162,4457.856020914147,9340.967268124296
1,4206.761096036529,4003.3393736121316,3639.3198706558455
2,-1459.378283201554,3059.1267889725277,-2062.9764561324664
3,-7037.567131848586,1822.0972909755912,-7763.952959008728
4,-12471.700714295846,188.083657568867,-13465.201341879721
5,-17764.863592777594,-1735.4380943852007,-19165.652629463868
6,-22836.65715973378,-4016.6984243175275,-24866.832291181097
7,-27738.178466707817,-6513.508192549889,-30566.88229232496
8,-32358.098132704465,-9300.23487951048,-36267.80537014407
9,-36707.016998234736,-12297.616516805994,-41968.85854138385
10,-40765.84137817502,-15469.8357913462,-47670.06865168675
11,-44608.87426743917,-18747.25221502191,-53369.96914644349
12,-48110.709434717646,-22154.959366415846,-59070.529235154696
13,-51304.73359496831,-25641.632939698353,-64771.03706790776
14,-54151.82517654442,-29180.33184829433,-70472.02054162181
15,-56708.59489899985,-32735.244831190023,-76172.5486845133
16,-58997.256943185195,-36288.76955667695,-81872.2711393242
17,-60936.28624451028,-39812.55159942804,-87572.48350285014
18,-62565.8632909469,-43284.00538197926,-93272.61640727804
19,-63843.5470287448,-46665.78868759228,-98973.46734743523
20,-64850.622263672674,-49957.00210766901,-104673.84703548372
21,-65545.22238710657,-53120.822109727436,-110374.62951298043
22,-65984.91662538097,-56161.08646040444,-116075.00784010722
23,-66138.96153109329,-59040.717568814835,-121775.78061233362
24,-66032.60564383745,-61749.90070290115,-127476.78626638549
25,-65696.01042850355,-64287.35567333724,-133177.73913236876
26,-65142.44640364066,-66642.81313482673,-138878.69705915626
27,-64390.23979819275,-68811.26475686059,-144579.6204118621
28,-63424.763611042086,-70751.11577854164,-150281.4362685176
29,-62302.8534843307,-72497.3478169612,-155983.1703279769
30,-61041.234481237945,-74049.04426847774,-161684.8299974402
31,-59654.40110904812,-75402.67899817898,-167386.52101525335
32,-58140.36308274386,-76520.17410777812,-173089.259770161
33,-56548.69397561753,-77458.5707885722,-178791.72538395
34,-54886.62652256214,-78202.68976618415,-184494.43907812014
35,-53183.550453515345,-78802.03097066982,-190196.2393783884
36,-51428.46392810547,-79158.024676525,-195900.0274900314
37,-49662.10493487251,-79370.1388635971,-201603.3438786465
